,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay,params_dropout,params_lr,params_transform,state
0,0,1.64,2025-10-24 00:55:39.931068,2025-10-24 00:56:19.408161,0 days 00:00:39.477093,1024,1e-07,0.7184732038024978,2.7255966824776853e-05,easy_transform,COMPLETE
1,1,2.42,2025-10-24 00:56:19.409161,2025-10-24 00:57:33.019651,0 days 00:01:13.610490,32,0.0,0.7348351196217657,1.4034256859127863e-05,crop_transform,COMPLETE
2,2,12.18,2025-10-24 00:57:33.020650,2025-10-24 00:58:17.505294,0 days 00:00:44.484644,128,1e-05,0.5351075095628203,0.0004360003397302717,easy_transform,COMPLETE
3,3,19.4,2025-10-24 00:58:17.506295,2025-10-24 00:59:00.926216,0 days 00:00:43.419921,128,1e-05,0.11238766272252032,0.0001511479053285642,easy_transform,COMPLETE
4,4,2.14,2025-10-24 00:59:00.927215,2025-10-24 00:59:42.864886,0 days 00:00:41.937671,256,0.0,0.6340015645597458,1.6468518552132764e-05,easy_transform,COMPLETE
5,5,1.12,2025-10-24 00:59:42.865885,2025-10-24 01:00:44.647101,0 days 00:01:01.781216,256,1e-05,0.8557840250063107,2.3365120480388372e-05,crop_transform,COMPLETE
6,6,1.1,2025-10-24 01:00:44.647101,2025-10-24 01:02:03.305856,0 days 00:01:18.658755,32,0.0,0.920397521461626,4.8144916467723426e-05,crop_transform,COMPLETE
7,7,9.36,2025-10-24 01:02:03.306852,2025-10-24 01:02:46.263304,0 days 00:00:42.956452,128,1e-06,0.6392522752793641,0.00043680934114111386,easy_transform,COMPLETE
8,8,44.22,2025-10-24 01:02:46.264319,2025-10-24 01:03:32.893182,0 days 00:00:46.628863,64,1e-08,0.11259970542223208,0.0007248132189882837,easy_transform,COMPLETE
9,9,6.54,2025-10-24 01:03:32.894183,2025-10-24 01:04:12.831388,0 days 00:00:39.937205,1024,1e-07,0.11402177767861987,6.23722358016581e-05,easy_transform,COMPLETE
10,10,15.52,2025-10-24 01:04:12.832388,2025-10-24 01:05:19.607176,0 days 00:01:06.774788,64,1e-08,0.31929573823425444,0.0009258740598041033,crop_transform,COMPLETE
11,11,19.98,2025-10-24 01:05:19.608175,2025-10-24 01:05:59.648197,0 days 00:00:40.040022,512,1e-08,0.001426417039353478,0.00017262394065892966,easy_transform,COMPLETE
12,12,20.24,2025-10-24 01:05:59.649197,2025-10-24 01:06:39.569325,0 days 00:00:39.920128,512,1e-08,0.006366950181298244,0.00018529005156805122,easy_transform,COMPLETE
13,13,24.44,2025-10-24 01:06:39.570325,2025-10-24 01:07:27.005670,0 days 00:00:47.435345,64,1e-08,0.321967322277495,0.0009981170473772776,easy_transform,COMPLETE
