,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay,params_dropout,params_hidden_size,params_lr,params_transform,state
0,0,1.32,2025-10-23 23:16:16.750382,2025-10-23 23:16:55.846098,0 days 00:00:39.095716,256,1e-08,0.7870753657019607,32,0.00018278410427529146,easy_transform,COMPLETE
1,1,1.1,2025-10-23 23:16:55.847141,2025-10-23 23:17:50.239790,0 days 00:00:54.392649,1024,0.001,0.9922396191881551,128,6.248971929543194e-05,crop_transform,COMPLETE
2,2,1.46,2025-10-23 23:17:50.240789,2025-10-23 23:18:49.586209,0 days 00:00:59.345420,128,0.0001,0.7358569549555511,64,5.9710048108912114e-05,crop_transform,COMPLETE
3,3,3.72,2025-10-23 23:18:49.587211,2025-10-23 23:19:47.467591,0 days 00:00:57.880380,512,1e-07,0.36152684853257744,128,2.141085794585394e-05,crop_transform,COMPLETE
4,4,2.34,2025-10-23 23:19:47.467591,2025-10-23 23:20:43.278330,0 days 00:00:55.810739,128,0.01,0.7062435551745369,256,0.0001877259002149764,easy_transform,COMPLETE
5,5,1.2,2025-10-23 23:20:43.279330,2025-10-23 23:21:38.380487,0 days 00:00:55.101157,128,0.0001,0.9596689414346544,64,0.00014686819080311794,crop_transform,COMPLETE
6,6,11.34,2025-10-23 23:21:38.381487,2025-10-23 23:22:31.250040,0 days 00:00:52.868553,512,1e-07,0.4644717453918804,256,0.0005015660303597794,crop_transform,COMPLETE
7,7,12.82,2025-10-23 23:22:31.251040,2025-10-23 23:23:51.545975,0 days 00:01:20.294935,256,1e-06,0.412071670345617,256,0.00011887284473862136,crop_transform,COMPLETE
8,8,7.92,2025-10-23 23:23:51.547216,2025-10-23 23:24:43.474959,0 days 00:00:51.927743,1024,1e-08,0.3730422684146314,128,0.0001403414314934337,crop_transform,COMPLETE
9,9,11.0,2025-10-23 23:24:43.474959,2025-10-23 23:25:35.831012,0 days 00:00:52.356053,256,0.0,0.2755926142307622,32,0.0009141464631390394,crop_transform,COMPLETE
10,10,49.48,2025-10-23 23:25:35.831012,2025-10-23 23:26:24.275573,0 days 00:00:48.444561,32,1e-06,0.09897987982392187,256,1.8086643273056447e-05,easy_transform,COMPLETE
11,11,46.32,2025-10-23 23:26:24.275573,2025-10-23 23:27:12.593719,0 days 00:00:48.318146,32,1e-06,0.050751176816696705,256,1.451233717094915e-05,easy_transform,COMPLETE
12,12,38.24,2025-10-23 23:27:12.594775,2025-10-23 23:28:01.219441,0 days 00:00:48.624666,32,1e-06,0.05123459701854028,256,1.0553064920842106e-05,easy_transform,COMPLETE
13,13,58.34,2025-10-23 23:28:01.219441,2025-10-23 23:28:50.257017,0 days 00:00:49.037576,32,1e-06,0.02230559432153437,256,2.1844999547465443e-05,easy_transform,COMPLETE
14,14,51.58,2025-10-23 23:28:50.258016,2025-10-23 23:29:39.782053,0 days 00:00:49.524037,32,1e-05,0.20096220491157402,256,2.6447141925517372e-05,easy_transform,COMPLETE
15,15,52.68,2025-10-23 23:29:39.782053,2025-10-23 23:30:28.615036,0 days 00:00:48.832983,64,1e-05,0.19619726299514545,256,3.421267579354707e-05,easy_transform,COMPLETE
16,16,54.44,2025-10-23 23:30:28.615036,2025-10-23 23:31:13.793724,0 days 00:00:45.178688,64,1e-05,0.1960632853258603,256,3.458171830198891e-05,easy_transform,COMPLETE
17,17,10.42,2025-10-23 23:31:13.794722,2025-10-23 23:31:55.152291,0 days 00:00:41.357569,64,1e-05,0.1778722561756782,32,4.472518946539969e-05,easy_transform,COMPLETE
18,18,5.22,2025-10-23 23:31:55.153289,2025-10-23 23:32:35.342517,0 days 00:00:40.189228,64,0.001,0.5351724938570299,64,6.081320746310542e-05,easy_transform,COMPLETE
19,19,34.26,2025-10-23 23:32:35.343517,2025-10-23 23:33:21.203333,0 days 00:00:45.859816,64,0.01,0.012701694554728915,256,1.0912292214093922e-05,easy_transform,COMPLETE
20,20,12.66,2025-10-23 23:33:21.204331,2025-10-23 23:34:14.572893,0 days 00:00:53.368562,32,0.0,0.5502552882169127,256,3.232843890121037e-05,easy_transform,COMPLETE
21,21,57.4,2025-10-23 23:34:14.573892,2025-10-23 23:34:59.759616,0 days 00:00:45.185724,64,1e-05,0.15495185263862965,256,3.456728247911851e-05,easy_transform,COMPLETE
